word,ONs,PC
అతి,242,21.84718125737904
అటు,204,26.301104147877492
పడి,201,22.49838122211295
అని,201,21.488770438569905
అను,198,26.32240535051777
కల,196,18.673620658881205
అది,196,21.734192080429988
మత,191,25.225170926212925
అవి,185,21.825618654055884
వాడు,178,28.339951649530473
గత,178,19.830198484565024
వాడి,173,25.272639289906426
తల,162,19.57638477120378
ములు,162,30.445235296259767
అమ్మ,162,33.741690094301866
కళ్లు,157,30.176634265862145
సరి,156,18.418723373624818
ఆరు,155,23.487587966448913
ఆట,154,20.605616493681925
అలా,154,24.96897973835937
మూడు,154,32.17132891151983
పని,151,19.7507107680473
కవి,150,19.660515685301544
పది,146,19.996514883878277
మన,145,24.55140331275713
అదే,145,23.771720131161498
మని,145,23.8097852329399
మాట,145,28.522067355033645
అనే,144,24.12706665869687
పద,144,20.406770566296697
అంత,142,30.20450104782319
అన్నీ,142,29.885167104104074
ఇక,137,20.02208745468429
కాదు,136,26.265737310633472
వేల,134,20.94410849678661
తన,132,20.964926623659377
వేరు,130,25.249345216667816
మూల,129,31.453489356612874
తను,129,25.04423101209101
ప్రతి,127,24.000569367946543
ఇంత,127,28.24014539813523
నది,126,19.803465824894612
ఉండి,125,30.6332140576835
నాకు,124,26.982566920822993
కొంత,124,33.84176885739498
ఒక,124,18.05241862261069
రెండు,122,32.58487073613081
బంతి,122,26.962827689142557
పేరు,121,24.36635372145427
పంట,119,27.839289921379706
కళ,117,20.99663369610636
వచ్చి,116,27.6695624812978
ఎంత,116,25.796532938449957
వాళ్లు,115,33.37913913900672
విని,114,19.13610312191811
వంట,114,27.81967828943274
వ్రాత,113,27.84383766011583
ఇది,113,19.780220140229613
ఏది,112,20.030280986012205
నీకు,112,24.623036058758178
తమ,112,25.226476712056503
పన్ను,112,31.756926721754027
ధర,112,20.18772575100459
కొని,110,24.869189385640937
కాంతి,109,29.269534725396845
సమ,109,24.68114855756373
వద్ద,109,26.287578070767474
లేక,106,22.57546737981223
వలె,105,22.13542295871886
తప్పు,105,28.64795585172758
స్థితి,104,29.11038267133322
శాంతి,103,30.21078897589193
అందు,103,32.1212370941692
గాలి,102,20.365127324264893
రంగు,102,29.425100055844464
ఇవి,102,19.8675655156418
ఇంటి,101,30.8569545564751
మీరు,101,28.309227783052144
ఇట్టి,101,30.353276591401393
బట్టి,100,30.144167174611283
ఇల్లు,99,28.207606440059887
వస్తే,98,26.46513833283916
పట్ల,98,25.629131263558186
వచ్చే,97,30.07422017413775
తల్లి,97,24.64845319688375
మీకు,94,29.234890580516453
ఒక్క,94,25.368900795377314
మందు,92,31.912324198750586
నన్ను,92,31.57636894620901
గదా,91,21.460297101716893
పటం,90,27.83502532427165
చేసి,88,24.802402005292734
మధ్య,87,32.99515920904908
నేను,87,26.274860230141567
ఇట్లు,85,29.473368322709952
లేవు,85,28.641134163824447
ఏమి,84,24.159913939107717
రాజు,83,23.63326229828265
ముందు,81,30.199865882851412
కొత్త,81,30.960866032780824
మంది,81,31.988185766566602
ఇచ్చి,80,27.483933581840443
చిన్న,79,27.843765653726223
పెట్టి,78,30.72627057537525
మొక్క,77,35.06123573430009
కాస్త,75,27.102030044201996
కానీ,75,22.821764077447455
ఎత్తు,75,27.236899539013056
చెప్పు,75,30.046301971936472
నిన్ను,74,30.814008400716247
ఐదు,73,24.04436526452561
మార్పు,72,33.89052475391144
కాలం,71,28.203882461109426
ఆమె,71,25.864207648608364
ఇలా,71,23.01614149622191
ఉంది,71,28.13116149928491
మార్చి,70,33.23067919024432
చూసి,70,30.84434968146455
ఆయా,70,32.128498946058876
పాత్ర,69,29.2406655066048
ముఖ్య,68,36.93058130652542
చెంది,67,29.088911840790672
ఎన్ని,66,24.229297726969186
కింది,62,27.647607415681673
దాన్ని,62,28.922604654935764
ఇదే,62,21.837841050730866
క్రింది,60,31.575392964729804
ఎలా,60,20.563031160926187
మాత్రం,59,35.81948276521277
నుంచి,59,31.411229208229685
ఏదో,59,27.216530550610507
పాపం,57,32.18325281012878
విద్య,56,27.110518145132446
బాగా,54,25.677635185519815
కూడా,54,32.05532288195504
యొక్క,53,32.19568371863753
గొప్ప,51,31.02288897188635
సార్లు,50,32.389141672561095
పెద్ద,50,26.456960595669607
గుండె,49,32.710422559237884
ప్రేమ,49,29.64750634763768
ఒకే,47,19.5565255347267
శ్రమ,44,27.922989192484703
పేర్లు,43,29.486662998160146
పూర్తి,42,32.88130628048706
నువ్వు,41,36.266558664258696
అంటే,40,33.014800660378334
తూర్పు,40,34.13325555224348
పెళ్లి,40,25.922323729400304
చాలా,40,26.823265848243057
ద్వారా,39,30.734634129972537
పేజీ,39,25.46138209984098
చర్య,38,27.1660423695767
క్రొత్త,36,34.76142218045527
ఇంకా,36,29.574725484230907
అంటూ,36,31.654183858091884
రక్తం,36,30.86675821663358
కంటే,35,30.857594040416455
జిల్లా,34,30.856390253895665
ప్రభ,33,27.19553714994627
ఖర్చు,32,30.809845759066405
శక్తి,32,24.97640189926802
పూర్వం,31,37.921887565812526
డబ్బు,30,32.39792352285065
బోర్డు,29,37.29513551567575
ప్రాప్తి,28,35.11741790486273
ఇంట్లో,26,41.357376560954144
ప్రశ్న,25,30.992946264638878
చుట్టూ,24,38.14486823164239
గూర్చి,24,32.168378686636274
ఇంకో,24,34.09302239290339
వ్యాధి,23,31.269408703303707
చూస్తే,23,35.08447497461333
శతం,23,27.75146324047451
శబ్దం,22,32.74399190593434
భర్త,21,26.561341395426545
దృష్టి,21,35.896422306640396
భార్య,21,31.532764954747783
మైనా,21,33.59313130574157
ముందే,20,31.258860474269557
దూరం,20,30.15094609429943
వ్యాప్తి,19,37.117410738811316
వృద్ధి,18,33.04707223665321
ఉంటే,18,32.086863293472625
ప్రాయం,18,36.50676770286666
భాగం,15,32.54146983899187
వ్యక్తి,14,32.86235912192886
హిందీ,9,34.36055164905999
రెండో,8,35.18416664601802
స్వయం,7,34.47008527849671
క్రమం,6,36.04155923932981
జ్ఞానం,5,40.97522327606358
స్పష్టం,4,41.60317245910237
ఏంటో,3,35.63717283900164
గ్రహం,3,34.59556444405306
త్యాగం,1,33.83082003293763
ప్రాంతం,1,36.5904156629911
న్యాయం,1,33.97638769084506
